"資料集識別碼","資料集名稱","資料提供屬性","服務分類","品質檢測","檔案格式","資料下載網址","編碼格式","資資料集上架方式","資料集描述","主要欄位說明","提供機關","更新頻率","授權方式","相關網址","計費方式","提供機關聯絡人姓名","提供機關聯絡人電話","上架日期","詮釋資料更新時間","備註","資料量"
"13835","海巡署查獲私運農林漁畜產品及其他物品統計—按單位分","檔案資料","公共資訊","金","ZIP","https://www.cga.gov.tw/GipOpen/wSite/public/Attachment/OD0302202408A0.zip","UTF-8","原始資料","本署業務績效情形","單位;總計/案件數(件次);農林漁畜產品/案件數(件次);農林漁畜產品/查獲數量/總計(公斤);農林漁畜產品/查獲數量/農產品(公斤);農林漁畜產品/查獲數量/林產品(公斤);農林漁畜產品/查獲數量/漁產品(公斤);農林漁畜產品/查獲數量/畜產品(公斤);農林漁畜產品/查獲數量/活體動物(隻);其他私運物品/案件數(件次);其他私運物品/查獲數量/菸品(包);其他私運物品/查獲數量/類菸品(毫升);其他私運物品/查獲數量/酒(公升);其他私運物品/查獲數量/電子產品(元);其他私運物品/查獲數量/其他(元)","海洋委員會海巡署","不定期更新","政府資料開放授權條款-第1版","","免費","簡先生","0222399201#266842","2015-04-10 00:00:00","2024-10-08 15:51:11","授權說明網址: http://data.gov.tw/license","68"
"9856","海巡署其他海巡績效統計-按月份分","檔案資料","公共資訊","金","ZIP","https://www.cga.gov.tw/GipOpen/wSite/public/Attachment/OD1001202408A0.zip","UTF-8","原始資料","本署業務績效情形","年月;總計/案件數(件次);偵破海域海岸刑事案件/計/案件數(件次);偵破海域海岸刑事案件/計/嫌犯人數(人次);偵破海域海岸刑事案件/偵破海域海岸重大刑案/案件數(件次);偵破海域海岸刑事案件/偵破海域海岸重大刑案/嫌犯人數(人次);偵破海域海岸刑事案件/偵破海域海岸一般刑案/案件數(件次);偵破海域海岸刑事案件/偵破海域海岸一般刑案/嫌犯人數(人次);查獲查緝(尋)逃犯案件/計/案件數(件次);查獲查緝(尋)逃犯案件/計/嫌犯人數(人次);查獲查緝(尋)逃犯案件/查獲重大刑案逃犯/案件數(件次);查獲查緝(尋)逃犯案件/查獲重大刑案逃犯/嫌犯人數(人次);查獲查緝(尋)逃犯案一般刑案逃犯/案件數(件次);查獲查緝(尋)逃犯案件/查獲一般刑案逃犯/嫌犯人數(人次);處理違反船舶及漁業管理案件/案件數(件次);處理專案勤務案件/合計/案件數(件次);處理專案勤務案件/護漁及經濟海域巡護/案件數(件次);處理專案勤務案件/特殊突發性海域重大專案/案件數(件次);處理專案勤務案件/其他署核定之專案工作/案件數(件次);處理陳情抗爭活動/計/案件數(件次);處理陳情抗爭活動/海域/案件數(件次);處理陳情抗爭活動/海域/數量(艘次);處理陳情抗爭活動/非海域/案件數(件次);處理陳情抗爭活動/非海域/數量(人次);查獲非法油品/計/案件數(件次);查獲非法油品/計/數量(公升);查獲非法油品/查獲非法流用漁業油品/案件數(件次);查獲非法油品/查獲非法流用漁業油品/數量(公升);查獲非法油品/其他非法油品/案件數(件次);查獲非法油品/其他非法油品/數量(公升);其他海巡績效/其他/案件數(件次)","海洋委員會海巡署","不定期更新","政府資料開放授權條款-第1版","","免費","簡先生","0222399201#266842","2014-12-31 00:00:00","2024-10-08 15:46:29","授權說明網址: http://data.gov.tw/license","35"
"13834","海巡署其他海巡績效統計-按單位分","檔案資料","公共資訊","金","ZIP","https://www.cga.gov.tw/GipOpen/wSite/public/Attachment/OD1002202408A0.zip","UTF-8","原始資料","本署業務績效情形","單位;總計/案件數(件次);偵破海域海岸刑事案件/案件數(件次);偵破海域海岸刑事案件/嫌犯人數(人次);偵破海域海岸刑事案件/偵破海域海岸重大刑案/案件數(件次);偵破海域海岸刑事案件/偵破海域海岸重大刑案/嫌犯人數(人次);偵破海域海岸刑事案件/偵破海域海岸一般刑案/案件數(件次);偵破海域海岸刑事案件/偵破海域海岸一般刑案/嫌犯人數(人次);查獲查緝(尋)逃犯案件/案件數(件次);查獲查緝(尋)逃犯案件/嫌犯人數(人次);查獲查緝(尋)逃犯案件/查獲重大刑案逃犯/案件數(件次);查獲查緝(尋)逃犯案件/查獲重大刑案逃犯/嫌犯人數(人次);查獲查緝(尋)逃犯案一般刑案逃犯/案件數(件次);查獲查緝(尋)逃犯案件/查獲一般刑案逃犯/嫌犯人數(人次);處理違反船舶及漁業管理案件/案件數(件次);處理專案勤務案件/合計/案件數(件次);處理專案勤務案件/護漁及經濟海域巡護/案件數(件次);處理專案勤務案件/特殊突發性海域重大專案/案件數(件次);處理專案勤務案件/其他署核定之專案工作/案件數(件次);處理陳情抗爭活動/案件數(件次);處理陳情抗爭活動/海域/案件數(件次);處理陳情抗爭活動/海域/數量(艘次);處理陳情抗爭活動/非海域/案件數(件次);處理陳情抗爭活動/非海域/數量(人次);查獲非法油品/計/案件數(件次);查獲非法油品/數量(公升);查獲非法油品/查獲非法流用漁業油品/案件數(件次);查獲非法油品/查獲非法流用漁業油品/數量(公升);查獲非法油品/其他非法油品/案件數(件次);查獲非法油品/其他非法油品/數量(公升);其他海巡績效/其他/案件數(件次)","海洋委員會海巡署","不定期更新","政府資料開放授權條款-第1版","","免費","簡先生","0222399201#266842","2015-04-10 00:00:00","2024-10-08 15:33:55","授權說明網址: http://data.gov.tw/license","68"
"9852","海巡署災難救護及服務工作統計-按月份分","檔案資料","公共資訊","金","ZIP","https://www.cga.gov.tw/GipOpen/wSite/public/Attachment/OD0901202408A0.zip","UTF-8","原始資料","本署業務績效情形","年月;總計/案件數(件次);總計/救服人數(人次);救難/案件數(件次);救難/遭難船數(艘次);救難/遭難人數(人次);難生/案件數(件次);難生/救生人數(人次);其他災難救護及服務工作/計/案件數(件次);其他災難救護及服務工作/計/數量(人次);其他災難救護及服務工作/處理(打撈)大體/案件數(件次);其他災難救護及服務工作/處理(打撈)大體/數量(具);其他災難救護及服務工作/處理海上交通事故/小計/案件數(件次);其他災難救護及服務工作/處理海上交通事故/小計/數量(艘次);其他災難救護及服務工作/處理海上交通事故/兩岸/案件數(件次);其他災難救護及服務工作/處理海上交通事故/兩岸/數量(艘次);其他災難救護及服務工作/處理海上交通事故/其他/案件數(件次);其他災難救護及服務工作/處理海上交通事故/其他/數量(艘次);其他災難救護及服務工作/處理漁事糾紛/小計/案件數(件次);其他災難救護及服務工作/處理漁事糾紛/小計/數量(艘次);其他災難救護及服務工作/處理漁事糾紛/兩岸/案件數(件次);其他災難救護及服務工作/處理漁事糾紛/兩岸/數量(艘次);其他災難救護及服務工作/處理漁事糾紛/其他/案件數(件次);其他災難救護及服務工作/處理漁事糾紛/其他/數量(艘次);其他災難救護及服務工作/遇險船舶戒護服務/案件數(件次);其他災難救護及服務工作/遇險船舶戒護服務/船數(艘次);其他災難救護及服務工作/遇險船舶戒護服務/人數(人次);其他災難救護及服務工作/外離島緊急傷病醫療後送服務/案件數(件次);其他災難救護及服務工作/外離島緊急傷病醫療後送服務/數量(人次);其他災難救護及服務工作/旅客疏運及物資救援服務/案件數(件次);其他災難救護及服務工作/旅客疏運及物資救援服務/數量(人次);其他災難救護及服務工作/岸際急難事件救援服務/案件數(件次);其他災難救護及服務工作/岸際急難事件救援服務/數量(人次);其他災難救護及服務工作/海(水)上活動安全維護服務/案件數(件次);其他災難救護及服務工作/海(水)上活動安全維護服務/數量(人次);其他災難救護及服務工作/其他/案件數(件次);其他災難救護及服務工作/其他/數量(人次)","海洋委員會海巡署","不定期更新","政府資料開放授權條款-第1版","","免費","簡先生","0222399201#266842","2014-12-31 00:00:00","2024-10-08 15:33:24","授權說明網址: http://data.gov.tw/license","35"
"13842","海巡署災難救護及服務工作統計-按單位分","檔案資料","公共資訊","金","ZIP","https://www.cga.gov.tw/GipOpen/wSite/public/Attachment/OD0902202408A0.zip","UTF-8","原始資料","本署業務績效情形","單位;總計/案件數(件次);總計/救服人數(人次);救難/案件數(件次);救難/遭難船數(艘次);救難/遭難人數(人次);難生/案件數(件次);難生/救生人數(人次);其他災難救護及服務工作/計/案件數(件次);其他災難救護及服務工作/計/數量(人次);其他災難救護及服務工作/處理(打撈)大體/案件數(件次);其他災難救護及服務工作/處理(打撈)大體/數量(具);其他災難救護及服務工作/處理海上交通事故/小計/案件數(件次);其他災難救護及服務工作/處理海上交通事故/小計/數量(艘次);其他災難救護及服務工作/處理海上交通事故/兩岸/案件數(件次);其他災難救護及服務工作/處理海上交通事故/兩岸/數量(艘次);其他災難救護及服務工作/處理海上交通事故/其他/案件數(件次);其他災難救護及服務工作/處理海上交通事故/其他/數量(艘次);其他災難救護及服務工作/處理漁事糾紛/小計/案件數(件次);其他災難救護及服務工作/處理漁事糾紛/小計/數量(艘次);其他災難救護及服務工作/處理漁事糾紛/兩岸/案件數(件次);其他災難救護及服務工作/處理漁事糾紛/兩岸/數量(艘次);其他災難救護及服務工作/處理漁事糾紛/其他/案件數(件次);其他災難救護及服務工作/處理漁事糾紛/其他/數量(艘次);其他災難救護及服務工作/遇險船舶戒護服務/案件數(件次);其他災難救護及服務工作/遇險船舶戒護服務/船數(艘次);其他災難救護及服務工作/遇險船舶戒護服務/人數(人次);其他災難救護及服務工作/外離島緊急傷病醫療後送服務/案件數(件次);其他災難救護及服務工作/外離島緊急傷病醫療後送服務/數量(人次);其他災難救護及服務工作/旅客疏運及物資救援服務/案件數(件次);其他災難救護及服務工作/旅客疏運及物資救援服務/數量(人次);其他災難救護及服務工作/岸際急難事件救援服務/案件數(件次);其他災難救護及服務工作/岸際急難事件救援服務/數量(人次);其他災難救護及服務工作/海(水)上活動安全維護服務/案件數(件次);其他災難救護及服務工作/海(水)上活動安全維護服務/數量(人次);其他災難救護及服務工作/其他/案件數(件次);其他災難救護及服務工作/其他/數量(人次)","海洋委員會海巡署","不定期更新","政府資料開放授權條款-第1版","","免費","簡先生","0222399201#266842","2015-04-10 00:00:00","2024-10-08 15:33:14","授權說明網址: http://data.gov.tw/license","68"
"9853","海巡署維護海域海岸資源統計-按月份分","檔案資料","公共資訊","金","ZIP","https://www.cga.gov.tw/GipOpen/wSite/public/Attachment/OD0801202408A0.zip","UTF-8","原始資料","本署業務績效情形","年月;總計/案件數(件次);總計/嫌犯人數(人次);處理海洋(岸)污染/案件數(件次);處理海洋(岸)污染/嫌犯人數(人次);處理海洋(岸)污染/重大海洋(岸)污染/案件數(件次);處理海洋(岸)污染/重大海洋(岸)污染/嫌犯人數(人次);處理海洋(岸)污染/一般海洋(岸)污染/案件數(件次);處理海洋(岸)污染/一般海洋(岸)污染/嫌犯人數(人次);處理海洋(岸)污染/其他海洋(岸)污染/案件數(件次);處理海洋(岸)污染/其他海洋(岸)污染/嫌犯人數(人次);捕殺販售保育類野生動物/案件數(件次);捕殺販售保育類野生動物/嫌犯人數(人次);拯救保育類野生動物/案件數(件次);拯救保育類野生動物/數量(隻);處理保育類野生動物屍體/案件數(件次);處理保育類野生動物屍體/數量(隻);盜採砂石、伐木/案件數(件次);盜採砂石、伐木/嫌犯人數(人次);非法捕魚/計/案件數(件次);非法捕魚/計/嫌犯人數(人次);非法捕魚/非法毒魚/案件數(件次);非法捕魚/非法炸魚/案件數(件次);非法捕魚/非法電魚/案件數(件次);非法捕魚/其他非法捕魚/小計/案件數(件次);非法捕魚/其他非法捕魚/違法以焚寄網或扒網/案件數(件次);非法捕魚/其他非法捕魚/違法以滾輪式拖網/案件數(件次);非法捕魚/其他非法捕魚/其他違法拖網/案件數(件次);非法捕魚/其他非法捕魚/其他/案件數(件次);其他維護海域海岸資源統計/案件數(件次);其他維護海域海岸資源統計/嫌犯人數(人次)","海洋委員會海巡署","不定期更新","政府資料開放授權條款-第1版","","免費","簡先生","0222399201#266842","2014-12-31 00:00:00","2024-10-08 15:32:36","授權說明網址: http://data.gov.tw/license","35"
"13841","海巡署維護海域海岸資源統計-按單位分","檔案資料","公共資訊","金","ZIP","https://www.cga.gov.tw/GipOpen/wSite/public/Attachment/OD0802202408A0.zip","UTF-8","原始資料","本署業務績效情形","單位;總計/案件數(件次);總計/嫌犯人數(人次);處理海洋(岸)污染/案件數(件次);處理海洋(岸)污染/嫌犯人數(人次);處理海洋(岸)污染/重大海洋(岸)污染/案件數(件次);處理海洋(岸)污染/重大海洋(岸)污染/嫌犯人數(人次);處理海洋(岸)污染/一般海洋(岸)污染/案件數(件次);處理海洋(岸)污染/一般海洋(岸)污染/嫌犯人數(人次);處理海洋(岸)污染/其他海洋(岸)污染/案件數(件次);處理海洋(岸)污染/其他海洋(岸)污染/嫌犯人數(人次);捕殺販售保育類野生動物/案件數(件次);捕殺販售保育類野生動物/嫌犯人數(人次);拯救保育類野生動物/案件數(件次);拯救保育類野生動物/數量(隻);處理保育類野生動物屍體/案件數(件次);處理保育類野生動物屍體/數量(隻);盜採砂石、伐木/案件數(件次);盜採砂石、伐木/嫌犯人數(人次);非法捕魚/計/案件數(件次);非法捕魚/計/嫌犯人數(人次);非法捕魚/非法毒魚/案件數(件次);非法捕魚/非法炸魚/案件數(件次);非法捕魚/非法電魚/案件數(件次);非法捕魚/其他非法捕魚/小計/案件數(件次);非法捕魚/其他非法捕魚/違法以焚寄網或扒網/案件數(件次);非法捕魚/其他非法捕魚/違法以滾輪式拖網/案件數(件次);非法捕魚/其他非法捕魚/其他違法拖網/案件數(件次);非法捕魚/其他非法捕魚/其他/案件數(件次);其他維護海域海岸資源統計/案件數(件次);其他維護海域海岸資源統計/嫌犯人數(人次)","海洋委員會海巡署","不定期更新","政府資料開放授權條款-第1版","","免費","簡先生","0222399201#266842","2015-04-10 00:00:00","2024-10-08 15:32:23","授權說明網址: http://data.gov.tw/license","68"
"9855","海巡署取締非法越區捕魚統計-按月份分","檔案資料","公共資訊","金","CSV","https://www.cga.gov.tw/GipOpen/wSite/public/Attachment/OD0701202408A0.csv","UTF-8","原始資料","本署業務績效情形","年月;總計/案件數(件次);總計/船隻數/計(艘次);總計/船隻數/大陸籍(艘次);總計/船隻數/外國籍(艘次);總計/船隻數/無籍(艘次);扣留/案件數(件次);扣留/船隻數/計(艘次);扣留/船隻數/大陸籍(艘次);扣留/船隻數/外國籍(艘次);扣留/船隻數/無籍(艘次);驅離/案件數(件次);驅離/船隻數/計(艘次);驅離/船隻數/大陸籍(艘次);驅離/船隻數/外國籍(艘次);驅離/船隻數/無籍(艘次)","海洋委員會海巡署","不定期更新","政府資料開放授權條款-第1版","","免費","簡先生","0222399201#266842","2014-12-31 00:00:00","2024-10-08 15:31:50","授權說明網址: http://data.gov.tw/license","35"
"13840","海巡署取締非法越區捕魚統計-按單位分","檔案資料","公共資訊","金","ZIP","https://www.cga.gov.tw/GipOpen/wSite/public/Attachment/OD0702202408A0.zip","UTF-8","原始資料","本署業務績效情形","單位;總計/案件數(件次);總計/船隻數/計(艘次);總計/船隻數/大陸籍(艘次);總計/船隻數/外國籍(艘次);總計/船隻數/無籍(艘次);扣留/案件數(件次);扣留/船隻數/計(艘次);扣留/船隻數/大陸籍(艘次);扣留/船隻數/外國籍(艘次);扣留/船隻數/無籍(艘次);驅離/案件數(件次);驅離/船隻數/計(艘次);驅離/船隻數/大陸籍(艘次);驅離/船隻數/外國籍(艘次);驅離/船隻數/無籍(艘次)","海洋委員會海巡署","不定期更新","政府資料開放授權條款-第1版","","免費","簡先生","0222399201#266842","2015-04-10 00:00:00","2024-10-08 15:31:39","授權說明網址: http://data.gov.tw/license","68"
"13839","海巡署查獲經濟犯罪之專案工作統計—按單位分","檔案資料","公共資訊","金","ZIP","https://www.cga.gov.tw/GipOpen/wSite/public/Attachment/OD0602202408A0.zip","UTF-8","原始資料","本署業務績效情形","單位;總計/案件數(件次);查獲偽鈔案件/案件數(件次);查獲偽鈔案件/嫌犯人數(人次);查獲偽鈔案件/查獲數量/台幣(千元);查獲偽鈔案件/查獲數量/人民幣(千元);查獲偽鈔案件/查獲數量/美鈔(千元);查獲偽鈔案件/查獲數量/日圓(千元);查獲偽鈔案件/查獲數量/其他偽鈔(千元);查獲仿冒、盜版案件/案件數(件次);查獲仿冒、盜版案件/嫌犯人數(人次);查獲仿冒、盜版案件/查獲數量/計(千元);查獲仿冒、盜版案件/查獲數量/光碟(千元);查獲仿冒、盜版案件/查獲數量/名牌飾品(千元);查獲仿冒、盜版案件/查獲數量/其他(千元);查獲違反洗錢防制法案件/案件數(件次);查獲違反洗錢防制法案件/嫌犯人數(人次);查獲違反洗錢防制法案件/數量(千元);查獲偽劣禁藥/案件數(件次);查獲偽劣禁藥/嫌犯人數(人次);查獲偽劣禁藥/數量(公克)","海洋委員會海巡署","不定期更新","政府資料開放授權條款-第1版","","免費","簡先生","0222399201#266842","2015-04-10 00:00:00","2024-10-08 15:30:50","授權說明網址: http://data.gov.tw/license","68"
